parameter_label,value,x,y,z,z_mode,roll,yaw,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw
checkpoint_end_row,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
catmull_rom,1.0,0.0,0.0,0.15,0.0,0.0,-90.0,,0.0,0.0,0.15,0.0,0.0,-90.0
catmull_end_row,48.0,0.0,-1.5,0.15,0.0,0.0,-90.0,,0.0,-0.3936,0.2028,0.0,0.0,-90.0
catmull_density,100.0,0.0,-1.5,0.15,0.0,0.0,0.0,,0.0,-0.8019,0.1839,0.0,0.0,-90.0
catmull_min_distance,0.4,1.0,-1.5,0.15,0.0,0.0,0.0,,0.0,-1.2146,0.1588,0.0,0.0,-90.0
catmull_orient_LERP,1.0,1.0,-1.5,0.15,0.0,0.0,90.0,,0.0,-1.5,0.15,0.0,0.0,-90.0
,,1.0,-0.75,0.15,0.0,0.0,90.0,,0.0,-1.5,0.15,0.0,0.0,0.0
,,1.0,-0.75,0.15,0.0,0.0,180.0,,0.404,-1.5,0.15,0.0,0.0,0.0
,,0.0,-0.75,0.15,0.0,0.0,180.0,,0.8081,-1.5,0.15,0.0,0.0,0.0
,,0.0,-0.75,0.15,0.0,0.0,90.0,,1.0,-1.5,0.15,0.0,0.0,0.0
,,0.0,0.0,0.15,0.0,0.0,90.0,,1.0,-1.5,0.15,0.0,0.0,90.0
,,0.0,0.0,0.15,0.0,0.0,0.0,,1.0,-1.0985,0.15,0.0,0.0,90.0
,,1.0,0.0,0.15,0.0,0.0,0.0,,1.0,-0.75,0.15,0.0,0.0,90.0
,,1.0,0.0,0.15,0.0,0.0,90.0,,1.0,-0.75,0.15,0.0,0.0,180.0
,,1.0,0.75,0.15,0.0,0.0,90.0,,0.596,-0.75,0.15,0.0,0.0,180.0
,,1.0,0.75,0.15,0.0,0.0,180.0,,0.1919,-0.75,0.15,0.0,0.0,180.0
,,0.0,0.75,0.15,0.0,0.0,180.0,,0.0,-0.75,0.15,0.0,0.0,180.0
,,0.0,0.75,0.15,0.0,0.0,90.0,,0.0,-0.75,0.15,0.0,0.0,90.0
,,0.0,1.5,0.15,0.0,0.0,90.0,,0.0,-0.3485,0.15,0.0,0.0,90.0
,,0.0,1.5,0.15,0.0,0.0,0.0,,0.0,0.0,0.15,0.0,0.0,90.0
,,1.0,1.5,0.15,0.0,0.0,0.0,,0.0,0.0,0.15,0.0,0.0,0.0
,,1.0,1.5,0.15,0.0,0.0,-90.0,,0.404,0.0,0.15,0.0,0.0,0.0
,,1.0,0.0,0.15,0.0,0.0,-90.0,,0.8081,0.0,0.15,0.0,0.0,0.0
,,1.0,0.0,0.15,0.0,0.0,-180.0,,1.0,0.0,0.15,0.0,0.0,0.0
,,0.0,0.0,0.15,0.0,0.0,-180.0,,1.0,0.0,0.15,0.0,0.0,90.0
,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.4015,0.15,0.0,0.0,90.0
,,,,,,,,,1.0,0.75,0.15,0.0,0.0,90.0
,,,,,,,,,1.0,0.75,0.15,0.0,0.0,180.0
,,,,,,,,,0.596,0.75,0.15,0.0,0.0,180.0
,,,,,,,,,0.1919,0.75,0.15,0.0,0.0,180.0
,,,,,,,,,0.0,0.75,0.15,0.0,0.0,180.0
,,,,,,,,,0.0,0.75,0.15,0.0,0.0,90.0
,,,,,,,,,0.0,1.1515,0.15,0.0,0.0,90.0
,,,,,,,,,0.0,1.5,0.15,0.0,0.0,90.0
,,,,,,,,,0.0,1.5,0.15,0.0,0.0,0.0
,,,,,,,,,0.404,1.5,0.15,0.0,0.0,0.0
,,,,,,,,,0.8081,1.5,0.15,0.0,0.0,0.0
,,,,,,,,,1.0,1.5,0.15,0.0,0.0,0.0
,,,,,,,,,1.0,1.5,0.15,0.0,0.0,-90.0
,,,,,,,,,1.0,1.0909,0.15,0.0,0.0,-90.0
,,,,,,,,,1.0,0.6818,0.15,0.0,0.0,-90.0
,,,,,,,,,1.0,0.2727,0.15,0.0,0.0,-90.0
,,,,,,,,,1.0,0.0,0.15,0.0,0.0,-90.0
,,,,,,,,,1.0,0.0,0.15,0.0,0.0,-180.0
,,,,,,,,,0.5882,0.0,0.1726,0.0,0.0,-180.0
,,,,,,,,,0.1874,0.0,0.1909,0.0,0.0,-180.0
,,,,,,,,,0.0,0.0,0.15,0.0,0.0,-180.0
,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
